建设	264	vn	0.02602267
管理	245	v	0.024149828
工程	189	n	0.018629868
年月	141	n	0.013898472
住房	139	n	0.013701331
建筑	128	n	0.0126170525
安全	124	an	0.01222277
质量	115	n	0.011335634
建设部	113	nt	0.011138492
北京市	104	ns	0.010251355
工作	98	vn	0.009659931
单位	95	n	0.009364218
施工	95	vn	0.009364218
加强	82	v	0.0080828
市场	77	n	0.0075899456
项目	75	n	0.007392804
房屋	74	n	0.0072942334
办法	66	n	0.0065056677
企业	61	n	0.006012814
保障	60	v	0.0059142434
发展	58	vn	0.005717102
部门	56	n	0.0055199605
规定	55	n	0.00542139
进一步	54	d	0.005322819
城乡	54	n	0.005322819
监管	50	vn	0.0049285362
人员	49	n	0.0048299655
完善	47	v	0.004632824
建立	46	v	0.0045342534
服务	46	v	0.0045342534
监督	46	vn	0.0045342534
落实	46	v	0.0045342534
机构	45	n	0.0044356827
标准	45	n	0.0044356827
政府	43	n	0.0042385412
机制	42	n	0.0041399705
体系	42	n	0.0041399705
政策	41	n	0.0040414
房地产	40	n	0.003942829
制度	39	n	0.0038442581
责任	39	n	0.0038442581
本市	39	r	0.0038442581
执法	39	vn	0.0038442581
实施	39	v	0.0038442581
信息	38	n	0.0037456874
进行	38	vx	0.0037456874
北京市人民政府	38	nt	0.0037456874
监理	37	vn	0.0036471167
家庭	37	n	0.0036471167
合同	37	n	0.0036471167
推进	36	vi	0.003548546
全面	35	ad	0.0034499753
开展	35	v	0.0034499753
技术	35	n	0.0034499753
严格	34	ad	0.0033514046
节能	33	vi	0.0032528338
行为	32	n	0.0031542631
规划	32	n	0.0031542631
拆迁	32	vn	0.0031542631
重点	32	n	0.0031542631
物业	31	n	0.0030556924
完成	30	v	0.0029571217
生产	29	vn	0.002858551
检测	29	vn	0.002858551
问题	29	n	0.002858551
执行	29	v	0.002858551
行业	27	n	0.0026614096
专项	27	b	0.0026614096
力度	27	n	0.0026614096
设计	26	vn	0.0025628388
人民	26	n	0.0025628388
材料	26	n	0.0025628388
使用	25	v	0.0024642681
依法	25	d	0.0024642681
组织	25	n	0.0024642681
检查	25	v	0.0024642681
全市	25	n	0.0024642681
购房	25	v	0.0024642681
条例	24	n	0.0023656974
资质	24	n	0.0023656974
规范	24	a	0.0023656974
绿色	24	n	0.0023656974
行政	24	n	0.0023656974
结构	23	n	0.0022671267
事故	23	n	0.0022671267
积极	23	ad	0.0022671267
加大	23	v	0.0022671267
深入	22	ad	0.002168556
注册	22	vn	0.002168556
租赁	22	vn	0.002168556
居民	22	n	0.002168556
登记	22	v	0.002168556
资格	22	n	0.002168556
安置	22	vn	0.002168556
修订	22	vn	0.002168556
强化	21	v	0.0020699853
城市	21	n	0.0020699853
中华	21	nz	0.0020699853
改造	21	vn	0.0020699853
国务院	21	nt	0.0020699853
违法	21	vn	0.0020699853
推动	21	v	0.0020699853
保证	20	vn	0.0019714145
现场	20	s	0.0019714145
分包	20	vn	0.0019714145
情况	20	n	0.0019714145
主体	20	n	0.0019714145
主管	20	vn	0.0019714145
住宅	20	n	0.0019714145
招标	20	vn	0.0019714145
动态	19	n	0.0018728437
要求	19	v	0.0018728437
按照	19	p	0.0018728437
贯彻	19	v	0.0018728437
任务	19	n	0.0018728437
北京	19	ns	0.0018728437
劳务	18	n	0.001774273
解决	18	v	0.001774273
公共	18	b	0.001774273
协调	18	ad	0.001774273
制定	17	v	0.0016757023
执业	17	vn	0.0016757023
提高	17	v	0.0016757023
实现	17	v	0.0016757023
措施	17	n	0.0016757023
全国人大常委会	17	nt	0.0016757023
诚信	17	a	0.0016757023
过程	17	n	0.0016757023
竣工	16	vi	0.0015771316
系统	16	n	0.0015771316
平方米	16	q	0.0015771316
评估	16	vn	0.0015771316
社会	16	n	0.0015771316
国家	16	n	0.0015771316
相关	16	vn	0.0015771316
水平	15	n	0.0014785609
备案	15	vn	0.0014785609
主要	15	d	0.0014785609
重要	15	a	0.0014785609
创新	15	vn	0.0014785609
违规	15	vn	0.0014785609
基础	15	n	0.0014785609
专业	15	n	0.0014785609
投资	14	v	0.0013799901
指导	14	vn	0.0013799901
确保	14	v	0.0013799901
信用	14	n	0.0013799901
计划	14	n	0.0013799901
评价	14	vn	0.0013799901
业主	14	n	0.0013799901
十二五时	14	t	0.0013799901
科技	14	n	0.0013799901
继续	14	v	0.0013799901
市政府	13	n	0.0012814194
设备	13	n	0.0012814194
环境	13	n	0.0012814194
第三	13	m	0.0012814194
操作	13	vn	0.0012814194
设施	13	n	0.0012814194
考核	13	v	0.0012814194
查处	13	v	0.0012814194
承包	13	v	0.0012814194
促进	13	v	0.0012814194
符合	12	v	0.0011828487
风险	12	n	0.0011828487
发挥	12	v	0.0011828487
作用	12	n	0.0011828487
抓好	12	v	0.0011828487
培训	12	v	0.0011828487
各类	12	r	0.0011828487
根据	12	p	0.0011828487
程序	12	n	0.0011828487
健全	12	v	0.0011828487
切实	12	ad	0.0011828487
审批	12	vn	0.0011828487
各区	12	r	0.0011828487
新建	12	v	0.0011828487
市政	12	n	0.0011828487
公开	12	ad	0.0011828487
商品房	12	n	0.0011828487
各项	12	r	0.0011828487
联动	12	vn	0.0011828487
目标	12	n	0.0011828487
方式	11	n	0.001084278
开工	11	vn	0.001084278
供应	11	v	0.001084278
干部	11	n	0.001084278
平台	11	n	0.001084278
造成	11	v	0.001084278
有效	11	a	0.001084278
信息化	11	vn	0.001084278
承担	11	v	0.001084278
实行	11	v	0.001084278
坚决	11	ad	0.001084278
结果	10	n	9.857073E-4
隐患	10	n	9.857073E-4
加快	10	vd	9.857073E-4
实际	10	n	9.857073E-4
资金	10	n	9.857073E-4
勘察	10	vn	9.857073E-4
意见	10	n	9.857073E-4
法规	10	n	9.857073E-4
混凝土	10	n	9.857073E-4
建筑业	10	n	9.857073E-4
房源	10	n	9.857073E-4
领域	10	n	9.857073E-4
启动	10	v	9.857073E-4
推行	10	v	9.857073E-4
市区	10	s	9.857073E-4
研究	10	v	9.857073E-4
结合	10	v	9.857073E-4
提供	10	v	9.857073E-4
配套	10	vn	9.857073E-4
治理	10	vn	9.857073E-4
不得	10	vi	9.857073E-4
全部	10	m	9.857073E-4
开发	10	vn	9.857073E-4
户籍	10	n	9.857073E-4
处理	10	v	9.857073E-4
功能	10	n	9.857073E-4
活动	10	vn	9.857073E-4
群众	9	n	8.871365E-4
应用	9	vn	8.871365E-4
出台	9	vi	8.871365E-4
北京市人大常委会	9	nt	8.871365E-4
精神	9	n	8.871365E-4
履约	9	vn	8.871365E-4
交易	9	vn	8.871365E-4
抗震	9	vn	8.871365E-4
疏解	9	v	8.871365E-4
通知	9	n	8.871365E-4
成立	9	vn	8.871365E-4
相应	9	vi	8.871365E-4
基本	9	ad	8.871365E-4
时间	9	n	8.871365E-4
部委	9	n	8.871365E-4
文件	9	n	8.871365E-4
需求	9	n	8.871365E-4
提交	9	v	8.871365E-4
修缮	9	vn	8.871365E-4
经纪	9	vn	8.871365E-4
防范	9	vn	8.871365E-4
调控	9	vn	8.871365E-4
审核	9	vn	8.871365E-4
方面	9	n	8.871365E-4
体制	8	n	7.885658E-4
着力	8	vd	7.885658E-4
办公厅	8	n	7.885658E-4
城镇	8	n	7.885658E-4
科学	8	a	7.885658E-4
同比	8	n	7.885658E-4
会同	8	v	7.885658E-4
档案	8	n	7.885658E-4
整顿	8	v	7.885658E-4
人才	8	n	7.885658E-4
发生	8	v	7.885658E-4
条件	8	n	7.885658E-4
提升	8	vn	7.885658E-4
应当	8	v	7.885658E-4
大力	8	d	7.885658E-4
合格	8	vi	7.885658E-4
证书	8	n	7.885658E-4
居住	8	vn	7.885658E-4
规模	8	n	7.885658E-4
报告	8	n	7.885658E-4
严肃	8	ad	7.885658E-4
突出	8	a	7.885658E-4
棚户区	8	n	7.885658E-4
十二五	8	m	7.885658E-4
整合	8	vn	7.885658E-4
统一	8	vn	7.885658E-4
专家	8	n	7.885658E-4
法律	8	n	7.885658E-4
参建	8	vn	7.885658E-4
充分	8	ad	7.885658E-4
首都	8	n	7.885658E-4
调整	8	vn	7.885658E-4
交通	7	n	6.8999507E-4
模式	7	n	6.8999507E-4
工人	7	n	6.8999507E-4
浏览	7	vn	6.8999507E-4
次数	7	n	6.8999507E-4
历史	7	n	6.8999507E-4
人口	7	n	6.8999507E-4
负责人	7	n	6.8999507E-4
证明	7	v	6.8999507E-4
重大	7	a	6.8999507E-4
投标	7	vn	6.8999507E-4
办理	7	v	6.8999507E-4
分析	7	v	6.8999507E-4
作为	7	p	6.8999507E-4
通过	7	p	6.8999507E-4
民用	7	b	6.8999507E-4
政策性	7	n	6.8999507E-4
补偿	7	vn	6.8999507E-4
中心	7	n	6.8999507E-4
电子	7	n	6.8999507E-4
认真	7	ad	6.8999507E-4
试点	7	n	6.8999507E-4
统筹	7	vd	6.8999507E-4
利用	7	v	6.8999507E-4
方案	7	n	6.8999507E-4
纳入	7	v	6.8999507E-4
一线	7	n	6.8999507E-4
探索	7	v	6.8999507E-4
印发	7	v	6.8999507E-4
全年	7	n	6.8999507E-4
改革	7	vn	6.8999507E-4
原件	7	n	6.8999507E-4
复印件	7	n	6.8999507E-4
支付	7	v	6.8999507E-4
队伍	7	n	6.8999507E-4
许可	7	vi	6.8999507E-4
停止	6	v	5.9142435E-4
市委	6	n	5.9142435E-4
纲要	6	n	5.9142435E-4
上岗	6	vi	5.9142435E-4
综合	6	vn	5.9142435E-4
环节	6	n	5.9142435E-4
能力	6	n	5.9142435E-4
保险	6	n	5.9142435E-4
严禁	6	v	5.9142435E-4
到位	6	vi	5.9142435E-4
进度	6	n	5.9142435E-4
商务部	6	n	5.9142435E-4
处罚	6	v	5.9142435E-4
代理	6	vn	5.9142435E-4
规范化	6	vn	5.9142435E-4
预售	6	vn	5.9142435E-4
形势	6	n	5.9142435E-4
调度	6	v	5.9142435E-4
发现	6	v	5.9142435E-4
职责	6	n	5.9142435E-4
纠纷	6	n	5.9142435E-4
订立	6	v	5.9142435E-4
提出	6	v	5.9142435E-4
修改	6	vn	5.9142435E-4
检验	6	vn	5.9142435E-4
整治	6	vn	5.9142435E-4
从业	6	b	5.9142435E-4
不断	6	d	5.9142435E-4
转变	6	vn	5.9142435E-4
土地	6	n	5.9142435E-4
数据	6	n	5.9142435E-4
强制性	6	n	5.9142435E-4
持证	6	v	5.9142435E-4
具体	6	a	5.9142435E-4
困难	6	an	5.9142435E-4
发包	6	vn	5.9142435E-4
必须	6	d	5.9142435E-4
直接	6	ad	5.9142435E-4
稳定	6	v	5.9142435E-4
取得	6	v	5.9142435E-4
负责	6	v	5.9142435E-4
增加	6	v	5.9142435E-4
复杂	6	a	5.9142435E-4
存量	6	n	5.9142435E-4
坚持	6	v	5.9142435E-4
整改	6	vn	5.9142435E-4
秩序	6	n	5.9142435E-4
大会	6	n	5.9142435E-4
建材	6	n	5.9142435E-4
降低	6	v	5.9142435E-4
工期	6	n	5.9142435E-4
准入	6	vn	5.9142435E-4
合理	6	ad	5.9142435E-4
社区	6	n	5.9142435E-4
安居工程	6	n	5.9142435E-4
同时	6	c	5.9142435E-4
物流	6	n	5.9142435E-4
明确	5	v	4.9285364E-4
意识	5	n	4.9285364E-4
累计	5	vd	4.9285364E-4
特别	5	d	4.9285364E-4
搅拌	5	v	4.9285364E-4
产权	5	n	4.9285364E-4
防治	5	vn	4.9285364E-4
普通	5	a	4.9285364E-4
推广	5	v	4.9285364E-4
做好	5	v	4.9285364E-4
立法	5	vn	4.9285364E-4
轨道	5	n	4.9285364E-4
逐步	5	d	4.9285364E-4
委员会	5	n	4.9285364E-4
教育	5	vn	4.9285364E-4
责令	5	v	4.9285364E-4
依据	5	p	4.9285364E-4
鉴定	5	v	4.9285364E-4
持续	5	vd	4.9285364E-4
努力	5	a	4.9285364E-4
主动	5	ad	4.9285364E-4
缴纳	5	v	4.9285364E-4
今年	5	t	4.9285364E-4
约定	5	v	4.9285364E-4
